,saga,books,number,finished
738,The Elric Saga,"['Elric of Melnibone', 'The Sailor on the Seas of Fate', 'The Weird of the White Wolf', 'The Vanishing Tower', 'The Bane of the Black Sword', 'Stormbringer', 'Elric at the End of Time']",7,Yes
739,Downside Ghosts,"['Unholy Ghosts', 'Unholy Magic']",2,No
740,The Premonition,['Intuition'],1,No
741,The Chronicles of the Black Company,"['The Black Company', 'She is the Darkness']",2,Yes
742,Brangwen Family,['The Rainbow'],1,No
743,Seasons of Horror,"['Summer of Night', 'Children of the Night', 'A Winter Haunting']",3,Yes
744,Wicca,"['Book of Shadows', 'Awakening', 'Dark Magick', 'Spellbound', 'The Calling', 'Changeling', 'Strife', 'Seeker', ""Night's Child"", 'Origins', 'Eclipse', 'Reckoning', 'Full Circle']",13,Yes
745,Fire & Flood,['Fire & Flood'],1,Yes
746,Riley Bloom,"['Radiance', 'Shimmer', 'Dreamland']",3,No
747,Boy,"[""Every Boy's Got One"", 'The Boy Next Door', 'Boy Meets Girl']",3,No
748,Nursery Crime,"['The Big Over Easy', 'The Fourth Bear']",2,No
749,FBI/US Attorney,"['Something About You', 'A Lot like Love', 'It Happened One Wedding', 'About That Night', 'Love Irresistibly', 'Suddenly One Summer']",6,Yes
750,Benedict-Savant,"['Stealing Phoenix', 'Seeking Crystal']",2,No
751,The Hathaways,"['Seduce Me at Sunrise', 'Tempt Me at Twilight', 'Love in the Afternoon', 'Married By Morning', 'Mine Till Midnight']",5,Yes
752,Revelation Space,"['Revelation Space', 'Redemption Ark']",2,Yes
753,Jane Yellowrock,"['Skinwalker', 'Blood Cross']",2,Yes
754,Damned,['Damned'],1,Yes
755,More Than,"['More Than This', 'More Than Forever', 'More Than Enough', 'More Than Him', 'More Than Her']",5,Yes
756,Time Between Us,['Time Between Us'],1,Yes
757,Roses,['Roses'],1,Yes
758,Interview with a Master,['Interview with a Master'],1,No
759,Stravaganza,"['City of Masks', 'City of Stars', 'City of Flowers', 'City of Secrets', 'City of Ships', 'City of Swords']",6,No
760,The Hollow Kingdom Trilogy,"['The Hollow Kingdom', 'Close Kin']",2,Yes
761,Gallaghers of Ardmore,"['Jewels of the Sun', 'Heart of the Sea', 'Tears of the Moon']",3,No
762,Roman trilogy,"['The Gladiator', 'The Champion', 'The Protector']",3,Yes
763,Exit Unicorns,"['Exit Unicorns', 'Mermaid in a Bowl of Tears']",2,Yes
764,Xenogenesis,"['Dawn', 'Adulthood Rites', 'Imago']",3,No
765,Welcome to Night Vale,['Welcome to Night Vale'],1,No
766,Scarlet,"['Scarlet', 'Lion Heart']",2,No
767,Oh. My. Gods.,"['Oh. My. Gods.', 'Goddess Boot Camp']",2,Yes
768,Pegasus,"['The Flame of Olympus', 'Pegasus and the Origins of Olympus', 'Pegasus and the Fight for Olympus', 'Pegasus and the New Olympians', 'Pegasus and the Rise of the Titans']",5,No
769,Hagenheim,"[""The Healer's Apprentice"", ""The Merchant's Daughter"", 'The Golden Braid', 'The Princess Spy']",4,No
770,Dumplin',"[""Dumplin'""]",1,No
771,The Descended,['Plague of Angels'],1,Yes
772,Adversary Cycle,"['The Keep', 'The Touch', 'Reborn', 'Reprisal']",4,Yes
773,Forever,"['Forever Black', 'Forever Us', 'Forever You', 'My Savior Forever']",4,No
774,Daniel X,"['The Dangerous Days of Daniel X', 'Demons and Druids', 'Watch the Skies', 'Armageddon', 'Game Over']",5,No
775,Den of Shadows,"['Shattered Mirror', 'In the Forests of the Night', 'Midnight Predator', 'Persistence of Memory', 'All Just Glass']",5,Yes
776,Wolf by Wolf,"['Wolf by Wolf', 'Blood for Blood']",2,No
777,Alastair-Audley Tetralogy,"['These Old Shades', ""Devil's Cub"", 'Regency Buck', 'An Infamous Army']",4,Yes
778,Robopocalypse,['Robopocalypse'],1,No
779,The Sea of Fertility,['Spring Snow'],1,Yes
780,Dead Remaining,['Forgotten Bones'],1,Yes
781,Story Thieves,"['Story Thieves', 'The Stolen Chapters', 'Secret Origins', 'Pick the Plot']",4,Yes
782,The Bridei Chronicles,"['The Well of Shades', 'Blade of Fortriu', 'The Dark Mirror']",3,No
783,The Three Kingdoms (2 volumes),"['Romance of the Three Kingdoms, Vol. 1 of 2', 'Romance of the Three Kingdoms, Vol. 2 of 2']",2,Yes
784,Thirteen Treasures,"['13 Treasures', '13 Secrets']",2,No
785,The Bird and the Sword Chronicles,"['The Bird and the Sword', 'The Queen and the Cure']",2,Yes
786,Bourbon Kid,"['The Book With No Name', 'The Eye of the Moon']",2,No
787,Fixed,"['Fixed on You', 'Forever with You', 'Hudson', 'Found in You']",4,No
788,Night's Dawn,"['The Reality Dysfunction', 'The Neutronium Alchemist', 'The Naked God']",3,Yes
789,The Paladin Prophecy,['The Paladin Prophecy'],1,Yes
790,James Potter,"[""James Potter and the Hall of Elders' Crossing"", 'James Potter and the Vault of Destinies', 'James Potter and the Curse of the Gatekeeper', 'James Potter and the Morrigan Web']",4,Yes
791,Sinners on Tour,"['Rock Hard', 'Wicked Beat', 'Hot Ticket']",3,Yes
792,The Poppy War,"['The Poppy War', 'The Dragon Republic']",2,Yes
793,Dead Beautiful,"['Dead Beautiful', 'Life Eternal']",2,Yes
794,The Vampire Diaries,"['The Awakening', 'The Fury', 'Dark Reunion', 'The Struggle']",4,No
795,The Assassin's Curse,"[""The Assassin's Curse""]",1,No
796,Wild Seasons,"['Sweet Filthy Boy', 'Dark Wild Night', 'Wicked Sexy Liar']",3,No
797,Scary Stories,"['Scary Stories to Tell in the Dark', 'More Scary Stories to Tell in the Dark', 'More Tales to Chill Your Bones']",3,Yes
798,Breeds,"['Tempting the Beast', ""Mercury's War"", ""Dawn's Awakening"", ""Harmony's Way"", ""Elizabeth's Wolf"", ""Lion's Heat"", ""Megan's Mark"", 'The Man Within', ""Lawe's Justice"", ""Aiden's Charity"", ""Jacob's Faith"", 'Kiss of Heat', ""Tanner's Scheme""]",13,No
799,Between the Lines,"['Between the Lines', 'Between the Lines', 'Off the Page']",3,Yes
800,That Boy,"['That Boy', 'That Wedding']",2,No
801,Circle Trilogy,"['Dance of the Gods', ""Morrigan's Cross""]",2,No
802,Dorina Basarab,"[""Midnight's Daughter""]",1,No
803,Five Hundred Kingdoms,"['The Fairy Godmother', 'The Sleeping Beauty', 'One Good Knight', 'The Snow Queen', 'Beauty and the Werewolf']",5,No
804,Jumper,"['Jumper', 'Reflex']",2,No
805,Sweet Thing,['Sweet Thing'],1,No
806,The Saga of Recluce,"['The Magic of Recluce', 'The White Order', 'The Towers of the Sunset']",3,Yes
807,Otherworld Stories,"['Men of the Otherworld', 'Tales of the Otherworld']",2,Yes
808,Hidden Legacy,"['Burn for Me', 'White Hot', 'Wildfire', 'Sapphire Flames']",4,No
809,Mythago Wood,['Mythago Wood'],1,Yes
810,Carve the Mark,"['Carve the Mark', 'The Fates Divide']",2,Yes
811,Elements,"['The Air He Breathes', 'The Gravity of Us', 'The Fire Between High & Lo']",3,Yes
812,My Fair Godmother,"['My Fair Godmother', 'My Unfair Godmother']",2,Yes
813,Cal Leandros,"['Nightlife', 'Blackout', 'Nevermore', 'Downfall', 'Roadkill', 'Doubletake', 'Slashback']",7,No
814,The Apothecary,"['The Apothecary', 'The Apprentices']",2,No
815,Conan the Cimmerian,"['The Coming of Conan the Cimmerian', 'The Bloody Crown of Conan', 'The Conquering Sword of Conan']",3,No
816,Chronicles of Elantra,"['Cast in Shadow', 'Cast in Chaos', 'Cast in Fury', 'Cast in Secret', 'Cast in Courtlight', 'Cast in Silence', 'Cast in Flame', 'Cast in Peril', 'Cast in Ruin']",9,Yes
817,The Wayfarer Redemption,"['The Wayfarer Redemption', 'Enchanter', 'Crusader', 'Starman', 'Pilgrim']",5,No
818,The Proposition,"['The Proposition', 'The Proposal']",2,Yes
819,Flame in the Mist,"['Flame in the Mist', 'Smoke in the Sun']",2,Yes
820,Impossible,"['Impossible', 'Extraordinary']",2,Yes
821,The Poldark Saga,"['Ross Poldark', 'Demelza', 'The Black Moon', 'The Angry Tide', 'Bella Poldark', 'The Loving Cup']",6,No
822,Promise Me,['Promise Me Darkness'],1,Yes
823,The Uplift Saga,"['Startide Rising', 'The Uplift War', 'Sundiver']",3,No
824,Cecelia and Kate,"['Sorcery & Cecelia: or The Enchanted Chocolate Pot', 'The Grand Tour', 'The Mislaid Magician; or, Ten Years After']",3,No
825,The Twilight Saga: The Official Illustrated Movie Companion,"['Twilight: The Complete Illustrated Movie Companion', 'The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion', 'Eclipse: The Complete Illustrated Movie Companion']",3,No
826,Night Owl,['Night Owl'],1,Yes
827,Willow Falls,"['Finally', '11 Birthdays', '13 Gifts', 'Graceful']",4,No
828,Five Children,"['Five Children and It', 'The Story of the Amulet']",2,Yes
829,Ring,"['Ring', 'Spiral', 'Loop']",3,No
830,Asylum,"['Asylum', 'Sanctum', 'Catacomb']",3,Yes
831,Don Tillman,['The Rosie Effect'],1,No
832,Genies,['As You Wish'],1,No
833,Ouran High School Host Club,"['Ouran High School Host Club, Vol. 1']",1,Yes
834,The Madman's Daughter,"[""The Madman's Daughter""]",1,No
835,The Hybrid Chronicles,"[""What's Left of Me""]",1,Yes
836,Friend-Zoned,['Friend-Zoned'],1,Yes
837,Green Angel,"['Green Angel', 'Green Witch']",2,Yes
838,Myth Adventures,"['Another Fine Myth', 'Myth-ing Persons', 'Myth Conceptions', 'M.Y.T.H. Inc. Link', 'Myth-Nomers and Im-Pervections']",5,No
839,Captain Blood,['Captain Blood'],1,No
840,Nightwalkers,"['Jacob', 'Gideon', 'Noah', 'Damien']",4,Yes
841,Under Heaven,"['Under Heaven', 'River of Stars']",2,Yes
842,Star Wars: Darth Bane,"['Dynasty of Evil', 'Rule of Two']",2,Yes
843,Steampunk Chronicles,"['The Girl in the Steel Corset', 'The Girl in the Clockwork Collar']",2,No
844,The Summerhouse,"['The Summerhouse', 'Return to Summerhouse']",2,No
845,Jean le Flambeur,"['The Quantum Thief', 'The Fractal Prince']",2,No
846,Sinners,['Branded'],1,No
847,Intertwined,['Intertwined'],1,Yes
848,Blood Coven Vampire,"['Boys that Bite', 'Stake That', 'Girls That Growl', 'Bad Blood']",4,Yes
849,Riley Jenson Guardian,"['Full Moon Rising', 'The Darkest Kiss', 'Kissing Sin', 'Tempting Evil', 'Bound to Shadows', 'Dangerous Games', 'Embraced by Darkness', 'Deadly Desire']",8,Yes
850,Reboot,['Reboot'],1,No
851,The Books of Beginning,"['The Emerald Atlas', 'The Fire Chronicle', 'The Black Reckoning']",3,No
852,This Is What Happy Looks Like,['This Is What Happy Looks Like'],1,Yes
853,1-800-Where-R-You,"['Sanctuary', 'Safe House', 'Code Name Cassandra', 'When Lightning Strikes', 'Missing You']",5,Yes
854,Lizzy & Diesel,"['Wicked Appetite', 'Wicked Business']",2,Yes
855,Drake Chronicles,"['My Love Lies Bleeding', 'Blood Feud', 'Out for Blood', 'Blood Moon', 'Bleeding Hearts', 'Blood Prophecy']",6,No
856,Elemental,"['Spark', 'Sacrifice', 'Spirit']",3,Yes
857,Ship Breaker,"['Ship Breaker', 'The Drowned Cities']",2,Yes
858,Young Wizards,"['So You Want to Be a Wizard', 'Wizards at War', 'Deep Wizardry', ""The Wizard's Dilemma"", 'High Wizardry', 'A Wizard Abroad']",6,No
859,Archer Brothers,"['Short-Straw Bride', 'Stealing the Preacher']",2,Yes
860,The Fionavar Tapestry,"['The Summer Tree', 'The Darkest Road', 'The Wandering Fire']",3,Yes
861,The Ghost and the Goth,"['The Ghost and the Goth', 'Queen of the Dead', 'Body & Soul']",3,Yes
862,I Am Her...,['I Am Her...'],1,Yes
863,Temptation,['Temptation'],1,Yes
864,Emily Windsnap,"['The Tail of Emily Windsnap', 'Emily Windsnap and the Castle in the Mist', 'Emily Windsnap and the Land of the Midnight Sun', 'Emily Windsnap and the Monster from the Deep']",4,Yes
865,The Acts of Caine,"['Heroes Die', 'Blade of Tyshalle', 'Caine Black Knife', ""Caine's Law""]",4,Yes
866,Pivot Point,['Pivot Point'],1,No
867,Storm and Silence,['Storm and Silence'],1,Yes
868,The Shamer Chronicles,"[""The Shamer's Daughter"", 'The Serpent Gift', ""The Shamer's Signet"", ""The Shamer's War""]",4,No
869,Save the Pearls,['Revealing Eden'],1,Yes
870,Emily Monroe,['Conduit'],1,No
871,The Dance Sequence,"['This is All: The Pillow Book of Cordelia Kenn', ""Postcards from No Man's Land""]",2,No
872,Legion,['Legion'],1,Yes
873,La Comedie Humaine,['Eugenie Grandet'],1,No
874,Guardians of Eternity,"['When Darkness Comes', 'Embrace the Darkness', 'Darkness Everlasting', 'Devoured by Darkness', 'Darkness Revealed', 'Darkness Avenged']",6,Yes
875,Deepgate Codex,"['Scar Night', 'Lye Street', 'Iron Angel']",3,No
876,Children of Time,['Children of Time'],1,No
877,Books of Faerie,"[""Lament: The Faerie Queen's Deception"", 'Ballad: A Gathering of Faerie']",2,Yes
878,Winter Rose,['Winter Rose'],1,No
879,Psmith,['Leave It to Psmith'],1,Yes
880,Book of the Ancestor,['Red Sister'],1,No
881,Dark Guardian,"['Moonlight', 'Dark of the Moon', 'Full Moon']",3,No
882,Zombie Fallout,"['Zombie Fallout', 'The End', 'The End Has Come and Gone', 'Alive In A Dead World', 'A Plague Upon Your Family', ""'Till Death Do Us Part"", 'For the Fallen']",7,No
883,Saga of the Pliocene Exile,"['The Many-Coloured Land', 'The Adversary', 'The Golden Torc', 'The Nonborn King']",4,Yes
884,The 'Burg,['Golden Trail'],1,No
885,Symphony of Ages,"['Rhapsody: Child of Blood', 'Destiny: Child of the Sky', 'Prophecy: Child of Earth', 'Requiem for the Sun', 'Elegy for a Lost Star', 'The Assassin King']",6,Yes
886,Burton & Swinburne,"['The Strange Affair of Spring Heeled Jack', 'Expedition to the Mountains of the Moon', 'The Return of the Discontinued Man']",3,Yes
887,The Montgomerys and Armstrongs,"['Never Seduce a Scot', 'Highlander Most Wanted']",2,Yes
888,The Last Dragon Chronicles,"['Icefire', 'The Fire Within', 'Fire Star', 'Fire World', 'The Fire Eternal', 'The Fire Ascending', 'Dark Fire']",7,Yes
889,Desiree,['Desiree'],1,Yes
890,Red Dwarf,"['Infinity Welcomes Careful Drivers', 'Better than Life', 'Last Human']",3,No
891,The Diabolic,"['The Diabolic', 'The Empress']",2,Yes
892,Cursebreakers,"['A Curse So Dark and Lonely', 'A Heart So Fierce and Broken']",2,No
893,Pern,"['The Masterharper of Pern', ""Nerilka's Story"", 'All the Weyrs of Pern', 'The Dolphins of Pern', 'Dragon Harper', 'The Skies of Pern', 'Dragonheart', ""Dragon's Fire"", 'Dragonseye']",9,No
894,Prisoner of Night and Fog,['Prisoner of Night and Fog'],1,Yes
895,"The Sacred Band of Stepsons Expanded ""Author's Cut"" editions","['The Fish the Fighters and the Song-Girl', 'The Sacred Band']",2,Yes
896,The Chronicles of Master Li and Number Ten Ox,['Bridge of Birds'],1,No
897,Spirit Bear,['Touching Spirit Bear'],1,No
898,King of Scars Duology,['King of Scars'],1,Yes
899,Loki,['The Gospel of Loki'],1,No
900,Shadowdwellers,"['Rapture', 'Pleasure', 'Ecstasy']",3,Yes
901,The Black Mage,"['First Year', 'Candidate', 'Apprentice']",3,Yes
902,Locke & Key,"['Locke & Key, Volume 1: Welcome to Lovecraft', 'Locke & Key, Vol. 4: Keys to the Kingdom', 'Locke & Key, Vol. 3: Crown of Shadows', 'Locke & Key, Vol. 2: Head Games', 'Locke & Key, Vol. 5: Clockworks', 'Locke & Key, Vol. 6: Alpha & Omega']",6,No
903,Negima! Magister Negi Magi,"['Negima! Magister Negi Magi, Vol. 1', 'Negima! Magister Negi Magi, Vol. 2']",2,No
904,Mirrorworld,"['Reckless', 'Fearless']",2,Yes
905,Transmetropolitan (Collected Editions),"['Transmetropolitan, Vol. 1: Back on the Street', 'Transmetropolitan, Vol. 2: Lust for Life', 'Transmetropolitan, Vol. 9: The Cure', 'Transmetropolitan, Vol. 3: Year of the Bastard']",4,Yes
906,Camulod Chronicles,['The Skystone'],1,No
907,Cold Awakening,['Skinned'],1,Yes
908,Alexander the Great,['The Persian Boy'],1,Yes
909,Luthiel's Song,['Dreams of the Ringed Vale'],1,Yes
910,Find You in the Dark,['Light in the Shadows'],1,Yes
911,The Book of Ivy,"['The Book of Ivy', 'The Revolution of Ivy']",2,No
912,The Aurora Cycle,"['Aurora Rising', 'Aurora Burning']",2,No
913,Stung,['Stung'],1,No
914,300 Universe,['300'],1,No
915,The Walking Dead (Hardcover Edition),"['The Walking Dead, Book One']",1,No
916,Lost Kings MC,"['Slow Burn', 'White Heat', 'More Than Miles', 'White Knuckles', 'Beyond Reckless']",5,No
917,Wintersong,"['Wintersong', 'Shadowsong']",2,No
918,Adventurers Wanted,"[""Slathbog's Gold""]",1,Yes
919,Vampirates,"['Demons of the Ocean', 'Tide of Terror', 'Blood Captain', 'Black Heart', 'Empire of Night', 'Immortal War']",6,No
920,Passenger,"['Passenger', 'Wayfarer']",2,Yes
921,Darkangel Trilogy,"['The Darkangel', 'A Gathering of Gargoyles', 'The Pearl of the Soul of the World']",3,No
922,Wide-Awake Princess,['The Wide-Awake Princess'],1,Yes
923,Witch Song,['Witch Song'],1,No
924,The Pledge,['The Pledge'],1,Yes
925,Unwanted,['The Unwanted Wife'],1,No
926,The Memoirs of Lady Trent,['A Natural History of Dragons'],1,No
927,The Last Hours,['Chain of Gold'],1,Yes
928,Janitors,['Janitors'],1,No
929,Jack West Jr,"['Seven Deadly Wonders', 'The Six Sacred Stones']",2,Yes
930,Dairy Queen,"['Dairy Queen', 'The Off Season', 'Front and Center']",3,Yes
931,Vurt,"['Vurt', 'Pollen']",2,Yes
932,What's Left of Me,"[""What's Left of Me""]",1,Yes
933,"Kingmaker, Kingbreaker","['The Innocent Mage', 'A Blight of Mages', 'The Awakened Mage']",3,No
934,Wondrous Strange,"['Wondrous Strange', 'Darklight', 'Tempestuous']",3,No
935,Newford,"['The Blue Girl', 'Someplace to Be Flying', 'Moonlight and Vines', 'Dreams Underfoot', 'Spirits in the Wires']",5,Yes
936,The Apprenticeship of Victor Frankenstein,"['This Dark Endeavor', 'Such Wicked Intent']",2,No
937,Rondo,['The Key to Rondo'],1,No
938,The Seven Sisters,['The Seven Sisters'],1,Yes
939,Timeless,"['Timeless', 'Shadow of the Sun', 'Soul Stalker']",3,Yes
940,The Accursed Kings,['The Iron King'],1,Yes
941,Rainbow Trilogy,"['Rainbow Boys', 'Rainbow High']",2,Yes
942,Surviving Raine,['Surviving Raine'],1,Yes
943,Kendrick/Coulter/Harrigan,"['Blue Skies', 'Phantom Waltz', 'Baby Love', 'My Sunshine', 'Here to Stay', 'Sun Kissed', 'Star Bright', 'Morning Light', 'Bright Eyes', 'Sweet Nothings']",10,No
944,Dragon Prince,"['Dragon Prince', 'The Star Scroll', ""Sunrunner's Fire""]",3,Yes
945,Ruthless People,['Ruthless People'],1,No
946,Dragonfly & The Glass Swallow,"['Dragonfly', 'The Glass Swallow']",2,No
947,Powder Mage,"['Promise of Blood', 'The Autumn Republic', 'The Crimson Campaign']",3,Yes
948,Earth Girl,"['Earth Girl', 'Earth Star', 'Earth Flight']",3,Yes
949,Virgin River,"['Virgin River', 'Shelter Mountain', 'Whispering Rock', 'Second Chance Pass', 'Temptation Ridge', 'Promise Canyon']",6,Yes
950,Necroscope,"['Necroscope', 'Necroscope III: The Source']",2,No
951,Malory-Anderson Families,"['The Magic of You', 'A Loving Scoundrel', 'Gentle Rogue', 'Love Only Once', 'That Perfect Someone', 'Say You Love Me', 'Captive of My Desires']",7,No
952,Nine Minutes,['Nine Minutes'],1,No
953,DragonKeeper Chronicles,"['DragonSpell', 'DragonFire', 'DragonQuest', 'DragonLight', 'DragonKnight']",5,Yes
954,Dark Life,"['Dark Life', 'Rip Tide']",2,No
955,Emily the Strange,"['The Lost Days', 'Stranger and Stranger']",2,No
956,Angelology,"['Angelology', 'Angelopolis']",2,Yes
957,Runaway Train,['Music of the Heart'],1,Yes
958,Tennis Shoes,"['Tennis Shoes Among the Nephites', 'Kingdoms and Conquerors', 'Gadiantons and the Silver Sword', 'Tower of Thunder', 'The Lost Scrolls', 'Feathered Serpent, Part 1', 'Sorcerers and Seers']",7,No
959,Providence,['Eden'],1,Yes
960,Gamble Brothers,['Tempting the Best Man'],1,Yes
961,Peter Nimble,['Peter Nimble and His Fantastic Eyes'],1,Yes
962,You Had Me at Hello,['You Had Me At Hello'],1,Yes
963,Wings of Fire,"['Escaping Peril', 'Winter Turning', 'Darkness of Dragons']",3,Yes
964,Dragonlance: Legends,"['Time of the Twins', 'War of the Twins', 'Test of the Twins']",3,No
965,The Tower and the Hive,"['The Rowan', 'Damia']",2,Yes
966,9/11,"['Beyond Tuesday Morning', 'One Tuesday Morning', 'Every Now & Then']",3,No
967,Altered,['Altered'],1,Yes
968,Theatre Illuminata,"['Eyes Like Stars', 'So Silver Bright', 'Perchance to Dream']",3,Yes
969,The Circle Opens,"['Street Magic', 'Cold Fire', 'Shatterglass', 'Magic Steps']",4,No
970,Ruined,"['Ruined', 'Ruined', 'Unbroken']",3,Yes
971,Medusa Girls,['Sweet Venom'],1,Yes
972,Significance Series,"['Independence', 'Defiance']",2,Yes
973,The Walking Dead Compendium Edition,"['The Walking Dead, Compendium 1', 'The Walking Dead, Compendium 2']",2,No
974,Princes,"['The Raven Prince', 'The Leopard Prince', 'The Serpent Prince']",3,Yes
975,Darkness Chosen,"['Into The Shadow', 'Scent of Darkness', 'Touch of Darkness', 'Into the Flame']",4,No
976,The Vampire Diaries: The Hunters,"['Phantom', 'Destiny Rising', 'Moonsong']",3,No
977,The Daughters of Boston,"['A Passion Most Pure', 'A Passion Redeemed', 'A Passion Denied']",3,No
978,Mystic City,['Mystic City'],1,No
979,The Dolphin Ring Cycle,"['The Eagle of the Ninth', 'The Lantern Bearers']",2,No
980,Three Sisters Island,"['Dance Upon the Air', 'Heaven and Earth', 'Face the Fire']",3,Yes
981,Death of the Endless,"['Death: The High Cost of Living', 'Death: The Time of Your Life']",2,Yes
982,Therian,['A Tale of the Other Kind'],1,No
983,Ring of Fire Main Line Novels,"['1632', '1634 The Baltic War', '1636: The Saxon Uprising']",3,Yes
984,The Viking Assassin,['City of Skies'],1,Yes
985,The Golden Oecumene,"['The Golden Age', 'The Golden Transcendence']",2,Yes
986,Underworld,"['Underworld: Evolution', 'Underworld', 'Underworld: Blood Enemy', 'Rise of the Lycans']",4,No
987,Affliction,['Captivated'],1,Yes
988,Eternal Ones,['The Eternal Ones'],1,Yes
989,Stranje House,"['A School for Unusual Girls', 'Exile for Dreamers']",2,Yes
990,Thirst,"['Thirst No. 3: The Eternal Dawn', 'The Shadow of Death']",2,No
991,The Light-Bearer,"['Charmeine', 'Ransom']",2,Yes
992,Deverry,"['Daggerspell', 'A Time of Exile', 'A Time of War', 'A Time of Justice', 'Dragonspell', 'Dawnspell', 'Darkspell', 'The Fire Dragon', 'The Silver Mage']",9,No
993,Gossip Girl,"['Gossip Girl', 'You Know You Love Me', 'All I Want is Everything', ""Because I'm Worth It"", 'Nothing Can Keep Us Together', 'Would I Lie to You', 'Only in Your Dreams', 'I Will Always Love You', ""Don't You Forget About Me""]",9,No
994,Ishmael,"['Ishmael', 'Self-Raised']",2,Yes
995,The Witches of the Glass Castle,['The Witches of the Glass Castle'],1,Yes
996,The PSS Chronicles,['Ghost Hand'],1,Yes
997,What If It's Us,"[""What If It's Us""]",1,Yes
998,Faeriewalker,"['Glimmerglass', 'Sirensong', 'Shadowspell']",3,No
999,Corwint Central Agent Files,['Ghost in the Machine'],1,Yes
1000,Bobiverse,"['We Are Legion (We Are Bob)', 'For We Are Many', 'All These Worlds']",3,Yes
1001,Heavenly,"['Heavenly', 'Absolution', 'Penitence']",3,No
1002,MacCarrick Brothers,"['If You Deceive', 'If You Dare', 'If You Desire']",3,Yes
1003,The Chronos Files,"['Timebound', ""Time's Edge"", ""Time's Divide""]",3,Yes
1004,The Field Party,"['Until Friday Night', 'Under the Lights']",2,Yes
1005,The Taker Trilogy,"['The Taker', 'The Reckoning']",2,No
1006,Safehold,['Off Armageddon Reef'],1,No
1007,When Women Were Warriors,"[""The Warrior's Path"", ""A Hero's Tale"", 'A Journey of the Heart']",3,No
1008,Ayesha,"['She: A History of Adventure', 'Ayesha: The Return of She']",2,No
1009,The Witches of Eileanan,['The Witches of Eileanan'],1,Yes
1010,Dark Ink Chronicles,"['Afterlight', 'Eventide', 'Everdark']",3,No
1011,Denazen,"['Touch', 'Toxic']",2,Yes
1012,Immortality Bites,"['Bitten & Smitten', 'Tall, Dark & Fangsome', 'Stakes & Stilettos', 'Lady & the Vamp', 'Fanged & Fabulous']",5,No
1013,The Starlight Chronicles,['Slumbering'],1,Yes
1014,It Girl,"['The It Girl', 'Notorious', 'Unforgettable']",3,Yes
1015,"Love, in English","['Love, in English']",1,Yes
1016,Worldwalker,['Trial by Fire'],1,No
1017,Zodiac,"['Zodiac', 'Thirteen Rising']",2,No
1018,The Emperor's Edge,"[""The Emperor's Edge"", 'Conspiracy', 'Deadly Games', 'Dark Currents', 'Blood and Betrayal']",5,Yes
1019,Wayside School,"['Wayside School Is Falling Down', 'Wayside School Gets A Little Stranger']",2,No
1020,The Deed of Paksenarrion,"[""Sheepfarmer's Daughter""]",1,No
1021,Shugo Chara!,"['Shugo Chara!, Vol. 1: Who Do You Want to Be?']",1,No
1022,Ghost in the Shell,['Ghost in the Shell'],1,Yes
1023,Prophecy of the Sisters,"['Prophecy of the Sisters', 'Guardian of the Gate', 'Circle of Fire']",3,Yes
1024,The Daevabad Trilogy,"['The City of Brass', 'The Kingdom of Copper', 'The Empire of Gold']",3,No
1025,Alcatraz Versus The Evil Librarians,"['Alcatraz Versus the Evil Librarians', ""Alcatraz Versus the Scrivener's Bones"", 'Alcatraz Versus the Knights of Crystallia']",3,No
1026,Last Princess,['The Last Princess'],1,No
1027,Chronicle of the Unhewn Throne,"[""The Emperor's Blades"", 'The Providence of Fire']",2,Yes
1028,The Masquerade,['The Traitor Baru Cormorant'],1,Yes
1029,Artemis Fowl: The Graphic Novels,['Artemis Fowl: The Graphic Novel'],1,No
1030,The Forbidden Game,"['The Hunter', 'The Kill', 'The Chase']",3,No
1031,Ghostgirl,"['Ghostgirl', 'Homecoming', 'Lovesick']",3,No
1032,Iron Butterfly,"['The Iron Butterfly', 'The Steele Wolf']",2,Yes
1033,Nevermoor,"['Wundersmith: The Calling of Morrigan Crow', 'The Trials of Morrigan Crow']",2,Yes
1034,The Last Magician,['The Last Magician'],1,Yes
1035,Greek Series,"['Lion of Macedon', 'Dark Prince']",2,No
1036,The League of Extraordinary Gentlemen,"['The League of Extraordinary Gentlemen, Vol. 2', 'The League of Extraordinary Gentlemen, Vol. 1']",2,Yes
1037,Dragon Jousters,"['Joust', 'Alta', 'Aerie', 'Sanctuary']",4,Yes
1038,Wild Cards,"['Wild Cards', 'Wild Cards', 'Inside Straight', 'Busted Flush', 'Suicide Kings', 'Fort Freak']",6,No
1039,Half Upon a Time,"['Twice Upon a Time', 'Half Upon a Time', 'Once Upon the End']",3,No
1040,Wildefire,"['Wildefire', 'Embers & Echoes', 'Afterglow']",3,No
1041,Chronicles of Brothers,"['The Fall of Lucifer', 'Son of Perdition', 'The First Judgement']",3,Yes
1042,Kricket,"['Under Different Stars', 'Sea of Stars', 'Darken the Stars']",3,Yes
1043,Goosebumps,"['Welcome to Dead House', 'Say Cheese and Die!', 'Night of the Living Dummy', 'The Haunted Mask', 'The Scarecrow Walks at Midnight', 'The Blob That Ate Everyone', 'A Night in Terror Tower', 'Be Careful What You Wish For...', 'The Beast from the East', 'The Curse of Camp Cold Lake', 'Night of the Living Dummy II', 'Chicken Chicken']",12,Yes
