,saga,books,number,finished
49,Bridget Jones,"[""Bridget Jones's Diary"", 'Bridget Jones: The Edge of Reason', 'Mad About the Boy']",3,No
50,The Chronicles of Narnia (Chronological Order),"[""The Magician's Nephew""]",1,Yes
51,The Dark Tower,"['The Gunslinger', 'Wizard and Glass', 'The Waste Lands', 'Wolves of the Calla', 'Song of Susannah']",5,Yes
52,Blade Runner,['Do Androids Dream of Electric Sheep?'],1,No
53,Me Before You,"['Me Before You', 'After You', 'Still Me']",3,Yes
54,The Stormlight Archive,"['The Way of Kings', 'Words of Radiance', 'Oathbringer', 'The Way of Kings', 'The Way of Kings']",5,Yes
55,If I Stay,"['If I Stay', 'Where She Went']",2,Yes
56,Legend,['Legend'],1,Yes
57,Mistborn,"['The Final Empire', 'The Hero of Ages', 'The Well of Ascension', 'The Alloy of Law', 'The Bands of Mourning', 'Shadows of Self']",6,No
58,Beautiful Creatures,"['Beautiful Creatures', 'Beautiful Darkness', 'Beautiful Chaos', 'Beautiful Redemption']",4,Yes
59,Black Dagger Brotherhood,"['Dark Lover', 'Lover Awakened', 'Lover Unbound', 'Lover Revealed', 'Lover Avenged', 'Lover Mine', 'Lover Enshrined', 'Lover Unleashed', 'Lover at Last', 'Lover Reborn', 'The King', 'The Shadows', 'The Chosen', 'The Beast', 'The Sinner', 'The Savior', 'The Thief']",17,No
60,The Wheel of Time,"['The Eye of the World', 'The Dragon Reborn', 'The Great Hunt', 'The Shadow Rising', 'The Gathering Storm', 'Lord of Chaos', 'Towers of Midnight', 'A Memory of Light', 'The Fires of Heaven', 'Knife of Dreams', ""Winter's Heart"", 'Crossroads of Twilight', 'A Crown of Swords', 'The Path of Daggers', 'New Spring']",15,No
61,Stargirl,"['Stargirl', 'Love, Stargirl']",2,Yes
62,Lux,"['Obsidian', 'Onyx']",2,Yes
63,The Martian,['The Martian'],1,Yes
64,Shatter Me,"['Shatter Me', 'Ignite Me', 'Unravel Me', 'Restore Me', 'Defy Me', 'Imagine Me']",6,Yes
65,His Dark Materials,"['The Amber Spyglass', 'The Subtle Knife']",2,Yes
66,Como agua para chocolate,['Like Water for Chocolate'],1,Yes
67,The Six of Crows Trilogy,"['Six of Crows', 'Crooked Kingdom']",2,No
68,Daughter of Smoke & Bone,"['Daughter of Smoke & Bone', 'Days of Blood & Starlight', 'Dreams of Gods and Monsters']",3,Yes
69,The Immortals,"['Evermore', 'Blue Moon', 'Shadowland', 'Dark Flame', 'Wild Magic', 'Emperor Mage', 'Night Star', 'The Realms of the Gods', 'Wolf-Speaker', 'Everlasting', 'Out of this World']",11,Yes
70,Anna and the French Kiss,"['Anna and the French Kiss', 'Lola and the Boy Next Door', 'Isla and the Happily Ever After']",3,Yes
71,Maximum Ride,"['The Angel Experiment', ""School's Out--Forever"", 'Saving the World and Other Extreme Sports', 'Max', 'The Final Warning', 'Fang', 'Angel', 'Nevermore', 'Maximum Ride Forever']",9,Yes
72,Miss Peregrine's Peculiar Children,"[""Miss Peregrine's Home for Peculiar Children"", 'Hollow City', 'Library of Souls', 'A Map of Days']",4,No
73,Matched,"['Matched', 'Crossed']",2,No
74,The Scarlet Pimpernel (publication order),['The Scarlet Pimpernel'],1,No
75,Hopeless,"['Hopeless', 'Losing Hope']",2,Yes
76,Artemis Fowl,"['Artemis Fowl', 'The Eternity Code', 'The Lost Colony', 'The Arctic Incident', 'The Opal Deception', 'The Time Paradox', 'The Atlantis Complex', 'The Last Guardian']",8,No
77,The Host,['The Host'],1,Yes
78,Sprawl,"['Neuromancer', 'Count Zero', 'Burning Chrome', 'Mona Lisa Overdrive']",4,No
79,The Exorcist,"['The Exorcist', 'Legion']",2,No
80,The 5th Wave,"['The 5th Wave', 'The Infinite Sea', 'The Last Star']",3,No
81,The Iron Fey,"['The Iron King', 'The Iron Queen', 'The Iron Daughter', 'The Iron Knight']",4,Yes
82,Aristotle and Dante,['Aristotle and Dante Discover the Secrets of the Universe'],1,No
83,Bloodlines,"['Bloodlines', 'The Golden Lily', 'Silver Shadows']",3,No
